,"time, s","x_all, m^2","y_all, m^2","z_all, m^2","r_all, m^2","x_2, m^2","y_2, m^2","z_2, m^2","r_2, m^2","x_5, m^2","y_5, m^2","z_5, m^2","r_5, m^2"
211,1.5825e-08,4.364849413262896e-20,3.916827461410218e-20,4.2275313683911344e-20,1.2509208243064247e-19,5.721434949715275e-20,5.1673112850468535e-20,5.570476895082965e-20,1.6459223129845093e-19,1.6543279214840233e-20,1.418302165354986e-20,1.5442632554892918e-20,4.616893342328301e-20
212,1.59e-08,4.320800887056283e-20,4.0018915034045595e-20,4.1912452775556466e-20,1.251393766801649e-19,5.667968877184358e-20,5.260302541950964e-20,5.487543820615343e-20,1.6415815239750665e-19,1.629096094280852e-20,1.4875272603714106e-20,1.6011800245281665e-20,4.7178033791804293e-20
213,1.5975e-08,4.3625391026606967e-20,4.038921993731452e-20,4.2261766003712244e-20,1.2627637696763372e-19,5.735075763617957e-20,5.3004101145201246e-20,5.555907184415341e-20,1.6591393062553421e-19,1.620146516412108e-20,1.5184095961400216e-20,1.569312562329951e-20,4.70786867488208e-20
214,1.605e-08,4.426411739600391e-20,4.052891807055612e-20,4.2769103903465834e-20,1.2756213937002584e-19,5.821004600245442e-20,5.326855043549504e-20,5.605790964976178e-20,1.6753650608771125e-19,1.639949832491235e-20,1.5074535435141065e-20,1.6217447109597153e-20,4.769148086965057e-20
215,1.6125e-08,4.485089261168423e-20,4.058202744813338e-20,4.303488402515793e-20,1.2846780408497555e-19,5.890896970173683e-20,5.3533422539906333e-20,5.642058590340109e-20,1.6886297814504427e-19,1.6762195613395553e-20,1.4704532958126073e-20,1.6289624217652533e-20,4.775635278917416e-20
216,1.62e-08,4.5453231271306047e-20,4.096571293850302e-20,4.34597874863516e-20,1.2987873169616069e-19,5.969676126140156e-20,5.423705016271665e-20,5.694494625797652e-20,1.708787576820947e-19,1.699399068562691e-20,1.4448959070591828e-20,1.6515808143827612e-20,4.795875790004635e-20
217,1.6275e-08,4.600561226472668e-20,4.1699615742636355e-20,4.2868821254317453e-20,1.3057404926168048e-19,6.05884372424488e-20,5.499280468883434e-20,5.623901871442407e-20,1.718202606457072e-19,1.6868444389317077e-20,1.5139201109900955e-20,1.6154540001018505e-20,4.8162185500236534e-20
218,1.635e-08,4.6092942599391947e-20,4.147480378907032e-20,4.333857781927975e-20,1.3090632420774203e-19,6.054906244993781e-20,5.485455440558469e-20,5.67980948475603e-20,1.7220171170308277e-19,1.7208937507383332e-20,1.4741434881464438e-20,1.6445831881914513e-20,4.8396204270762283e-20
219,1.6425e-08,4.628988940822371e-20,4.192478069014754e-20,4.341942241262074e-20,1.31634092510992e-19,6.093614363815541e-20,5.539762429430069e-20,5.69015686438309e-20,1.7323533657628702e-19,1.702598691365316e-20,1.5005407629505613e-20,1.648146226705827e-20,4.8512856810217044e-20
220,1.65e-08,4.6789300526230075e-20,4.193603523190925e-20,4.3377322267063365e-20,1.3210265802520268e-19,6.144774395513307e-20,5.553952523494111e-20,5.68176759335919e-20,1.7380494512366606e-19,1.7501043440746203e-20,1.47556245422577e-20,1.6522865624761203e-20,4.877953360776511e-20
221,1.6575e-08,4.660351987957327e-20,4.2176062402429924e-20,4.356646995879417e-20,1.3234605224079737e-19,6.125361869080393e-20,5.565383324632032e-20,5.693572975290964e-20,1.7384318169003387e-19,1.7331935731352637e-20,1.5246844485828604e-20,1.6854062206098606e-20,4.9432842423279845e-20
222,1.665e-08,4.694104570651191e-20,4.245667891761144e-20,4.402783181497392e-20,1.3342555643909728e-19,6.161033101056547e-20,5.610346369880772e-20,5.752693419119251e-20,1.752407289005657e-19,1.7631126046264282e-20,1.518976323174467e-20,1.705599249686529e-20,4.9876881774874243e-20
223,1.6725e-08,4.708796870543547e-20,4.2009718892496e-20,4.3969376158718874e-20,1.3306706375665033e-19,6.193862062822245e-20,5.553463660875444e-20,5.741691947243352e-20,1.7489017670941038e-19,1.7415670039398227e-20,1.4986299314893686e-20,1.7100554264324184e-20,4.95025236186161e-20
224,1.6799999999999998e-08,4.726347795474482e-20,4.236211674381751e-20,4.4086860145236e-20,1.3371245484379834e-19,6.21673581427037e-20,5.576469877564334e-20,5.752316202066517e-20,1.754552189390122e-19,1.7484826719819164e-20,1.558312959819676e-20,1.724049917147813e-20,5.0308455489494055e-20
225,1.6875e-08,4.768945282330679e-20,4.306159890676692e-20,4.477234275405265e-20,1.3552339448412639e-19,6.269420581841178e-20,5.668564321957375e-20,5.835100579179664e-20,1.7773085482978213e-19,1.7709252991290412e-20,1.5840119742701735e-20,1.7641537504810266e-20,5.119091023880241e-20
226,1.695e-08,4.817102806054501e-20,4.325272701517046e-20,4.4897260972671093e-20,1.3632101604838656e-19,6.337193263456671e-20,5.703250755545505e-20,5.838653307814675e-20,1.787909732681685e-19,1.7798908179247716e-20,1.5720079568469062e-20,1.7945062996300805e-20,5.146405074401759e-20
227,1.7025e-08,4.803732049924191e-20,4.300835089576778e-20,4.564025655175288e-20,1.3668592794676258e-19,6.281422552881827e-20,5.692816732219257e-20,5.946906212476628e-20,1.7921145497577712e-19,1.851237158272511e-20,1.5195905184376067e-20,1.8009654791610882e-20,5.171793155871206e-20
228,1.71e-08,4.787218190678448e-20,4.3107704879263406e-20,4.5694659674380825e-20,1.3667454646042872e-19,6.283122458406818e-20,5.6755923255212e-20,5.956446034152459e-20,1.7915160818080476e-19,1.7983313432446168e-20,1.5837924803881764e-20,1.7982147794521335e-20,5.180338603084927e-20
229,1.7175e-08,4.886786462447235e-20,4.296285436377923e-20,4.592801222693132e-20,1.377587312151829e-19,6.42904952114219e-20,5.656936577051731e-20,5.980365935211891e-20,1.8066352033405813e-19,1.8052725775938378e-20,1.5776406767894367e-20,1.8203818849847523e-20,5.2032951393680274e-20
230,1.725e-08,4.91017747468221e-20,4.3418273589834884e-20,4.6239914737894124e-20,1.387599630745511e-19,6.467030247637026e-20,5.725575533338506e-20,6.043450110025799e-20,1.823605589100133e-19,1.7995126568447568e-20,1.5770336434264884e-20,1.7878465814655407e-20,5.164392881736786e-20
231,1.7325e-08,4.939016774628426e-20,4.3333023340359176e-20,4.651359235016386e-20,1.3923678343680732e-19,6.490468876186516e-20,5.699556135981375e-20,6.083866004328118e-20,1.827389101649601e-19,1.8391427513980995e-20,1.6034631946019276e-20,1.789143561176736e-20,5.231749507176763e-20
