,"time, s","msd_all, m^2","msd_x_all, m^2","msd_y_all, m^2","msd_z_all, m^2","msd_Cr, m^2","msd_x_Cr, m^2","msd_y_Cr, m^2","msd_z_Cr, m^2","msd_Ta, m^2","msd_x_Ta, m^2","msd_y_Ta, m^2","msd_z_Ta, m^2"
370,2.775e-08,2.2706887054375345e-19,7.927209777007757e-20,6.959974505868675e-20,7.819702771498912e-20,2.9355660811239446e-19,1.0260557557617145e-19,9.015485483419927e-20,1.0079617770202372e-19,9.422325426891001e-20,3.2650715356729735e-20,2.8529672206441935e-20,3.3042866705738326e-20
371,2.7825e-08,2.2764068374398813e-19,7.94864653019473e-20,6.97737294409556e-20,7.83804890010852e-20,2.94297963885592e-19,1.0286678042239219e-19,9.038035875483998e-20,1.0105082470835981e-19,9.445631346105684e-20,3.277149973902721e-20,2.860071813606546e-20,3.308409558596419e-20
372,2.79e-08,2.282167388188712e-19,7.969938520782895e-20,6.995445743976371e-20,7.85628961712785e-20,2.9504995162697844e-19,1.0313317236983085e-19,9.061577154867975e-20,1.0130100770846799e-19,9.468084682142228e-20,3.287757999937585e-20,2.8672183351050686e-20,3.313108347099574e-20
373,2.7975e-08,2.288040759014038e-19,7.991264450258202e-20,7.012881823653901e-20,7.876261316228285e-20,2.958326007031643e-19,1.0340323555626074e-19,9.085126815566033e-20,1.0157809699124318e-19,9.487794138538663e-20,3.297734245587628e-20,2.8724391933294635e-20,3.3176206996215686e-20
374,2.805e-08,2.293795610458455e-19,8.012915272942938e-20,7.029254086976208e-20,7.895786744665401e-20,2.965885806159503e-19,1.0367623116770497e-19,9.107095158673621e-20,1.0184139786150924e-19,9.509278952198367e-20,3.3080986240452946e-20,2.8776302269245594e-20,3.323550101228516e-20
375,2.8125e-08,2.2998028475416947e-19,8.034948921410431e-20,7.047255093535835e-20,7.915824460470672e-20,2.973796273433393e-19,1.0395254420030408e-19,9.131474467927771e-20,1.0211233846375747e-19,9.531323891682417e-20,3.318947895847469e-20,2.882887085717572e-20,3.329488910117374e-20
376,2.82e-08,2.305697087979541e-19,8.056543473534611e-20,7.06464810486061e-20,7.935779301400191e-20,2.981615954242894e-19,1.0423245847633098e-19,9.154602557911571e-20,1.0238311136884266e-19,9.551795094885065e-20,3.327761190912044e-20,2.888821141049794e-20,3.335212762923228e-20
377,2.8275e-08,2.3114468291587017e-19,8.077806606258929e-20,7.082892270215738e-20,7.953769415112355e-20,2.9893499209483687e-19,1.0450675116572297e-19,9.178983581548234e-20,1.0263840511363158e-19,9.569646750555192e-20,3.3367040944413904e-20,2.8948035758931866e-20,3.338139080220615e-20
378,2.835e-08,2.3171712850315424e-19,8.098433300056488e-20,7.100021248018018e-20,7.973258302240922e-20,2.9970049319227553e-19,1.0477302065713474e-19,9.201981227787891e-20,1.0290766025726187e-19,9.588317913407016e-20,3.3453419968004354e-20,2.90020667906376e-20,3.342769237542819e-20
379,2.8425e-08,2.3228137764891167e-19,8.118754080254104e-20,7.117291629382611e-20,7.992092055254458e-20,3.0045593257867333e-19,1.0503878498574014e-19,9.224392728683146e-20,1.0317322030610157e-19,9.60654212169861e-20,3.353163689743816e-20,2.907204862616116e-20,3.346173569338676e-20
